			BibTeX Key	Autor, Herausgeber oder Institution	Titel	Zeitschrift/Zeitung	Kategorien	Schlagwörter
FALSCH	FALSCH	FALSCH	Gilges.2021	Gilges, Giovanna	Die gesundheitliche Beratung nach dem Prostituiertenschutzgesetz als bedarfsorientierter Beratungsraum für junge Erwachsene in der Sexarbeit	UJ (unsere jugend)	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Bedarfe // needs; Gesundheit // health; junge Erwachsene // young adults; Macht // power; Recht // law; Sexuelle Bildung // sexuality education
FALSCH	FALSCH	FALSCH	CorneliaHelfferich.2021	Helfferich, Cornelia; Doll, Daniel; Feldmann, Jasmin; Kavemann, Barbara	Sexuelle Übergriffe unter Jugendlichen als Frage von Macht, Geschlecht und sozialer Einbindung in Gruppen – eine qualitative Rekonstruktion	ZSE Zeitschrift für Soziologie der Erziehung und Sozialisation	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 6 Gewalt; 6.2 Übergriff, Peergewalt; 8 Forschung; 9 Förderlinie; 9.2.15 SP:PAS	Forschungsergebnisse // research results; Geschlecht // gender; Gruppendiskussionen // group discussions; Jugendliche // youth; junge Erwachsene // young adults; Macht // power; Sexueller Übergriff // sexual assault
FALSCH	FALSCH	FALSCH	Husmann.2020b	Husmann, Laura; Kampert, Meike; Rusack, Tanja; Schröer, Wolfgang; Wolff, Mechthild	Rechte von Kindern und Jugendlichen in Pflegefamilien stärken	UJ (unsere jugend)	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 8 Forschung; 9 Förderlinie; 9.2.3 FosterCare	Jugendliche // youth; Kinder // children; Pflegekinderhilfe // foster care; Recht // law; Schutzfaktoren // protection factor; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Husmann.2021	Husmann, Laura; Rusack, Tanja	Schutzkonzepte in der Pflegekinderhilfe	Jugendhilfe	1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz	Pädagogik // pedagogy; Pädagogische Fachkräfte // pedagogial staff; Partizipation // participation; Pflegekinderhilfe // foster care; Schutzfaktoren // protection factor; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	KatharinaGopner.2021	Katharina Göpner	Unterstützung gewaltbetroffener geflüchteter Frauen und Mädchen	TUP - Theorie und Praxis der Sozialen Arbeit	1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.3 Ethnizität; 1.4.4 Religion; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention	Frauen // women; Geflüchtete // refugees; Gewalt // violence; Gewalt gegen Frauen // violence against women; Mädchen // girls
FALSCH	FALSCH	FALSCH	Klatetzki.2021	Klatetzki, Thomas	Eine Praktik des Nichtwissens. Eine Antwort auf die Erwiderung von Kay Biesel, Thomas Meysen und Christian Schrapper in np 5/20: 409-425	Neue Praxis	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.3 Kinderschutz	Diskurs // discourse; Kinder // children; Kinderschutz // child protection; Organisationskultur // organisational culture
FALSCH	FALSCH	FALSCH	KlausTheweleit.2020	Klaus Theweleit	Mehr Liebe – weniger Gewalt	TUP - Theorie und Praxis der Sozialen Arbeit	1 Soziale Rahmung; 1.1 Diskurse	Gewalt // violence; Liebe // love
FALSCH	FALSCH	FALSCH	Krause.2021	Krause, Annika	Sexuelle Bildung inhaftierter Mädchen* und (junger) Frauen*	UJ (unsere jugend)	1 Soziale Rahmung	Frauen // women; Institutionelle Dynamiken // institutional dynamics; Mädchen // girls; Raum // space; Recht // law; Sexuelle Bildung // sexuality education
FALSCH	FALSCH	FALSCH	Leonhard.2021b	Leonhard, Nina; Dimbath, Oliver	Gewaltgedächtnisse		1 Soziale Rahmung; 1.1 Diskurse; 6 Gewalt; 6.1 Sexueller Missbrauch; 8 Forschung	Disclosure // disclosure; Forschungsergebnisse // research results; Gewalt // violence; Kommunikation // communication
FALSCH	FALSCH	FALSCH	LotharAndree.2020	Lothar Andrée	Alles schon bunt hier? Queer in der Sozialen Arbeit	TUP - Theorie und Praxis der Sozialen Arbeit	1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*	Queerness // Queerness; Soziale Arbeit // Social Work
WAHR	FALSCH	FALSCH	Mangold.2021	Mangold, Katharina; Rein, Angela	Kinder- und Jugendhilfe und LGBTIQ*	Sozial Extra (Sozial Extra)	1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung	Intergeschlechtlichkeit // intersexuality; Queerness // Queerness; Stationäre Einrichtungen // residential care; Trans* // trans*
WAHR	FALSCH	FALSCH	Mantey.2020b	Mantey, Dominik	Sexualerziehung in Jugendwohngruppen	Sozial Extra (Sozial Extra)	2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Partizipation // participation; Sexuelle Bildung // sexuality education; Stationäre Einrichtungen // residential care
FALSCH	FALSCH	FALSCH	MehmetajBassfeld.2021	Mehmetaj-Bassfeld, Adrijane; Najafi, Behshid	Sexuelle Selbstbestimmung versus Zwangsverheiratung	UJ (unsere jugend)	1 Soziale Rahmung; 1.1 Diskurse; 6 Gewalt; 6.4 Disclosure, Aufarbeitung; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	Gewalt // violence; Recht // law; Selbstbestimmung // agency; Sexualität // sexuality
FALSCH	FALSCH	FALSCH	PeterKulea.2021	Peter Kuleßa; Martin Grunwald	Ohne Berührungen geht es nicht	TUP - Theorie und Praxis der Sozialen Arbeit	1 Soziale Rahmung; 1.1 Diskurse	Körper // body
FALSCH	FALSCH	FALSCH	Pohling.2021	Pohling, Andrea	Artikulationen sexueller Gewalt		1 Soziale Rahmung; 1.1 Diskurse; 6 Gewalt; 6.1 Sexueller Missbrauch	Aufarbeitung // rehabilitation; Bedarfe // needs; Betroffene sexualisierter Gewalt // sexual assault survivors; Disclosure // disclosure; Kommunikation // communication; Sexueller Missbrauch // sexual abuse
WAHR	FALSCH	FALSCH	Rein.2021	Rein, Angela	Queere Jugendliche in der stationären Erziehungshilfe	Sozial Extra (Sozial Extra)	1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2.4 Stationäre Einrichtung	Institutionelle Dynamiken // institutional dynamics; Queerness // Queerness; Stationäre Einrichtungen // residential care
FALSCH	FALSCH	FALSCH	Riedl.2021	Riedl, Sonja; Wolff, Mechthild	Partizipative Schutzkonzepte in der Jugendverbandsarbeit	Sozialmagazin	1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 8 Forschung; 9.2.11 SchutzNorm	Forschungsergebnisse // research results; Forschungspraxis // research practice; Jugendarbeit // youth work; Partizipation // participation; Schutzfaktoren // protection factor; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Sautermeister.2021	Sautermeister, Jochen; Odenthal, Andreas	Ohnmacht. Macht. Missbrauch		1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 6 Gewalt; 6.1 Sexueller Missbrauch; 6.5 Negative Folgen; 8 Forschung	Macht // power; Religion // religion; Sexueller Missbrauch // sexual abuse; Theorie // theory
FALSCH	FALSCH	FALSCH	Schneider.2021	Schneider, Lisa; Kaplan, Anne; Verlinden, Karla	Kritische Sexuelle Bildung im Kontext von Herrschafts- und Marginalisierungsprozessen bei Mädchen* und jungen Frauen*	UJ (unsere jugend)	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention	Frauen // women; Macht // power; Mädchen // girls; Sexuelle Bildung // sexuality education; Soziale Arbeit // Social Work; Soziale Ungleichheit // social inequality
FALSCH	FALSCH	FALSCH	Stahlker.2021	Stählker, Ann-Sophie	Zwischenruf: Der Geschlechtseintrag ,divers‘ und die stationären Hilfen zur Erziehung	UJ (unsere jugend)	1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung	Queerness // Queerness; Recht // law; Stationäre Einrichtungen // residential care; Trans* // trans*
FALSCH	FALSCH	FALSCH	Urbann.2021	Urbann, Katharina	Fucking Disabled. Intersektionale Perspektive in der sexuellen Bildung mit Mädchen* und Frauen* mit Behinderung	UJ (unsere jugend)	1 Soziale Rahmung; 1.4 Identitäten; 1.4.5 Behinderungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Frauen // women; Intersektionalität // intersectionality; Menschen mit Behinderungen // people with disabilities; Menschenrechte // human rights
FALSCH	FALSCH	FALSCH	Abhalter.2019	Abhalter, Ronja	Zwischen Emanzipation und Prohibition	Betrifft Mädchen	1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Medizin // medicine; Prävention // prevention; Risikofaktoren // risk factors; Sexuelle Bildung // sexuality education
FALSCH	FALSCH	FALSCH	Allroggen.2018	Allroggen, Marc; Gerke, Jelena; Rau, Thea; Fegert, Jörg M.	Umgang mit sexueller Gewalt in Einrichtungen für Kinder und Jugendliche		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.5 Praxismaterialien; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 8 Forschung; 9 Förderlinie; 9.1.16 Sprich mit!	Handlungsempfehlungen // guidelines; Kinder- und Jugendhilfe // child welfare system; Konzepte, Materialien // concepts; Schutzkonzept // protection concept; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Christmann.2016b	Christmann, Bernd; Just, Patricia; Wazlawik, Martin	Aufdeckung/Disclosure von sexueller Gewalt gegen Kinder und Jugendliche in schulischen Settings	Soziale Passagen	2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.4 Disclosure, Aufarbeitung; 8 Forschung; 9 Förderlinie; 9.3.5 Junprof Münster	Disclosure // disclosure; Forschungsergebnisse // research results; Lehrer*innen // Teachers; Schule // school; Sexualisierte Gewalt // sexual violence; Survey // survey
FALSCH	FALSCH	FALSCH	Stamm.2015	Stamm, Margrit; Halberkann, Isabelle	Resilienz		3 Thematischer Fokus; 3.2 Gewaltprävention; 3.4 Intervention; 6 Gewalt; 6.6 Resilienz	Resilienz // resilience; Trauma // trauma
FALSCH	FALSCH	FALSCH	Stecklina.2017	Stecklina, Gerd	Sexualität und Jugendhilfe		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 2.2.6 Sonstige Einrichtungen	Forschungsergebnisse // research results; Jugendliche // youth; Kinder- und Jugendhilfe // child welfare system; Sexualität // sexuality
FALSCH	FALSCH	FALSCH	Steinbach.2015	Steinbach, Beate	Prävention sexueller Gewalt im Ehrenamtssektor		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 6 Gewalt; 6.1 Sexueller Missbrauch	Ehrenamt // volunteer work; Prävention // prevention; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Steiner.2018	Steiner, Maria	Wenn nichts mehr ist, wie es mal war		3 Thematischer Fokus; 3.3 Kinderschutz; 3.4 Intervention; 3.5 Praxismaterialien; 6 Gewalt; 6.1 Sexueller Missbrauch	Aufarbeitung // rehabilitation; Handlungsempfehlungen // guidelines; Intervention // intervention; Konzepte, Materialien // concepts; Pädagogische Einrichtung // educational facilities; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Steinkemper.2015	Steinkemper, Klaus	Anregungen aus der Praxis für die Praxis		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.3 Weiterführende Schule; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.5 Praxismaterialien; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte; 6 Gewalt; 6.3 Diskriminierung	Diversität // diversity; Konzepte, Materialien // concepts; Praxis // practice; Sexuelle Vielfalt // sexual diversity
FALSCH	FALSCH	FALSCH	Steinkemper.2015b	Steinkemper, Klaus	Einblicke ins Trainingslager für geschlechtliche Identitäten		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 3.5 Praxismaterialien	Konzepte, Materialien // concepts; Praxis // practice; Sexuelle Vielfalt // sexual diversity
FALSCH	FALSCH	FALSCH	Stier.2018b	Stier, Bernhard; Weissenrieder, Nikolaus; Winter, Reinhard	Sexualentwicklung und Sexualität		7 Sexualität; 7.1 Sexuelle Erfahrungen; 7.3 Sexuelle Selbstbestimmung	Heteronormativität // heteronormativity; Psychosexuelle Entwicklung // sexuality development; Sexualität // sexuality; Sexualkultur // sexuality culture
FALSCH	FALSCH	FALSCH	Stollenwerk.2017	Stollenwerk, Ulla	Und jetzt?		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.4 Intervention; 6 Gewalt; 6.4 Disclosure, Aufarbeitung	Pädagogische Einrichtung // educational facilities; Sexualisierte Gewalt // sexual violence; Verdacht // suspicion
FALSCH	FALSCH	FALSCH	Storck.2018	Storck, Christina; Pfeffer, Simone	Prävention sexuellen Missbrauchs in Kindertageseinrichtungen am Beispiel des Präventionsprojekts "ReSi - Resilienz und Sicherheit"		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.1 Kita; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.5 Praxismaterialien; 6 Gewalt; 6.1 Sexueller Missbrauch	Evaluation // evaluation; Forschungsergebnisse // research results; Kindertagesstätte // day-care centre; Konzepte, Materialien // concepts; Prävention // prevention; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Storck.2018b	Storck, Christina; Pfeffer, Simone	Primärprävention sexuellen Missbrauchs bei Kindern im Vorschulalter		2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.1 Kita; 3 Thematischer Fokus; 3.2 Gewaltprävention; 5 Adressat*innen; 5.1 Kinder; 6 Gewalt; 6.1 Sexueller Missbrauch; 9 Förderlinie; 9.1.10 ReSi	Evaluation // evaluation; Forschungsergebnisse // research results; Kinder // children; Kindertagesstätte // day-care centre; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Christmann.2019	Christmann, Bernd; Kopp, Katharina; Wazlawik, Martin	Fremde Sexualität zwischen Instrumentalisierung, Normierung und Anerkennung	Migration und soziale Arbeit	1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.2 LGBAQ*; 1.4.3 Ethnizität; 1.4.4 Religion; 3 Thematischer Fokus; 3.4 Intervention; 7 Sexualität; 7.3 Sexuelle Selbstbestimmung	Feminismus // feminism; Geflüchtete // refugees; Gender Studies // Gender Studies; Heteronormativität // heteronormativity; Homonationalismus // homonationalism; Normen // norms; Rassismus // racism; Recht // law; Sexualisierung // sexualisation
FALSCH	FALSCH	FALSCH	Struck.2015	Struck, Norbert	Zum Verhältnis		1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.4 Stationäre Einrichtung; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.4 Disclosure, Aufarbeitung	Geschichte // history; Institutionelle Dynamiken // institutional dynamics; Institutioneller Missbrauch // institutional abuse; Kinder- und Jugendhilfe // child welfare system; Politik // politics; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse; Stationäre Einrichtungen // residential care
FALSCH	FALSCH	FALSCH	Stumpe.2018	Stumpe, Harald	Sexualisierte Gewalt aus salutogenetischer, präventiver und resilienter Perspektive		1 Soziale Rahmung; 1.1 Diskurse; 3 Thematischer Fokus; 3.2 Gewaltprävention; 9 Förderlinie; 9.3.1 Forschungsprof Merseburg	Resilienz // resilience; Sexualisierte Gewalt // sexual violence; Theorie // theory
FALSCH	FALSCH	FALSCH	Sutterluty.2018	Sutterlüty, Ferdinand	Kindeswohl		1 Soziale Rahmung; 1.1 Diskurse; 2 Institutioneller Kontext; 2.2 Einrichtungen; 2.2.6 Sonstige Einrichtungen; 3 Thematischer Fokus; 3.3 Kinderschutz	Diskursanalyse // discourse analysis; Kinderschutz // child protection; Kindeswohl // child welfare; Recht // law
FALSCH	FALSCH	FALSCH	Teubert.2020	Teubert, Anja	Schutz von Kindern und Jugendlichen vor sexualisierter Gewalt in pädagogischen Kontexten		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 3.4 Intervention	Jugendliche // youth; junge Erwachsene // young adults; Kinder // children; Schutzfaktoren // protection factor; Schutzkonzept // protection concept
FALSCH	FALSCH	FALSCH	Teubert.2018b	Teubert, Anja; Sauer, Karin Elinor	Prävention sexualisierter Gewalt im Kontext Flucht		1 Soziale Rahmung; 1.4 Identitäten; 1.4.3 Ethnizität; 3 Thematischer Fokus; 3.2 Gewaltprävention	Geflüchtete // refugees; Institutionelle Dynamiken // institutional dynamics; Prävention // prevention; Praxis // practice; Queer Theorie // Queer Theory; Selbstbestimmung // agency; Sexualisierte Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse
FALSCH	FALSCH	FALSCH	Thon.2018	Thon, Christine	Reflektieren über Differenzen?		1 Soziale Rahmung; 1.1 Diskurse; 1.4 Identitäten; 1.4.1 Geschlecht; 1.4.3 Ethnizität; 3 Thematischer Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Pädagogische Fachkräfte	Eltern // parents; Geschlecht // gender; interkulturell // intercultural; Kinder // children; Pädagogische Fachkräfte // pedagogial staff
FALSCH	FALSCH	FALSCH	Timmermanns.2017	Timmermanns, Stefan	Weniger Drama bitte!		1 Soziale Rahmung; 1.4 Identitäten; 1.4.1 Geschlecht; 3 Thematischer Fokus; 3.1 Sexualpädagogik	Geschlecht // gender; Sexualpädagogik // sex education
FALSCH	FALSCH	FALSCH	Tomse.2019	Tomse, Miriam	Loveline – das Jugendportal der BZgAim Kontext sich verändernder Mediennutzung		1 Soziale Rahmung; 3 Thematischer Fokus; 3.5 Praxismaterialien	Digitale Medien // digital media; Fachberatungsstelle // specialist counselling; Jugendliche // youth; Medien // media; Sexualisierte Gewalt // sexual violence; Sexualität // sexuality
FALSCH	FALSCH	FALSCH	Treibel.2018	Treibel, Angelika	Die Online-Befragung als Instrument zur Erforschung sexueller Gewalt		3 Thematischer Fokus; 3.2 Gewaltprävention; 8 Forschung; 9 Förderlinie; 9.1.2 DASsS	Forschungsmethoden // research methods; Sexualisierte Gewalt // sexual violence; Survey // survey
FALSCH	FALSCH	FALSCH	Treibel.2018b	Treibel, Angelika; Dölling, Dieter; Hermann, Dieter	Das Anzeigeverhalten Betroffener sexueller Übergriffe		1 Soziale Rahmung; 1.1 Diskurse; 1.2 Leitlinien; 3 Thematischer Fokus; 3.4 Intervention; 6 Gewalt; 6.4 Disclosure, Aufarbeitung; 9 Förderlinie; 9.1.2 DASsS	Einzelinterviews // one-on-one interviews; Forschungsergebnisse // research results; Quantitative Forschung // quantitative research; Recht // law; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Christmann.2018	Christmann, Bernd; Schwerdt, Daniel; Wazlawik, Martin	Umgang mit ethischen Fragen in der Forschung zu sexualisierter Gewalt an Kindern und Jugendlichen	Soziale Passagen	3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz; 3.4 Intervention; 8 Forschung; 9 Förderlinie; 9.3.5 Junprof Münster	Forschungsethik // research ethics; Forschungsstand // state of research; Partizipation // participation; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Tschan.2015	Tschan, Werner	Übergriffe in Institutionen in der Schweiz		2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Sexueller Missbrauch	Forschungsstand // state of research; Pädagogische Einrichtung // educational facilities; Sexualisierte Gewalt // sexual violence
FALSCH	FALSCH	FALSCH	Tschan.2018	Tschan, Werner	Implementierung von Schutzkonzepten		1 Soziale Rahmung; 1.2 Leitlinien; 2 Institutioneller Kontext; 2.1 Institutionelle Dynamiken; 3 Thematischer Fokus; 3.2 Gewaltprävention; 3.3 Kinderschutz	Pädagogische Einrichtung // educational facilities; Schutzkonzept // protection concept
